   1055 [2022-05-30 17:05:08]  76Bytes	a8-7e-ea-e9-35-63	24-31-54-62-92-32		ipv4				192.168.43.233		192.168.43.1 		54572	 53  		DNS请求 null  查询hector.baidu.com的地址
   1073 [2022-05-30 17:05:08]  92Bytes	24-31-54-62-92-32	a8-7e-ea-e9-35-63		ipv4				192.168.43.1		192.168.43.233 		   53	 59594  		DNS响应 Host Address  域名hector.baidu.com的IP地址是39.156.68.81
   1176 [2022-05-30 17:05:09]  78Bytes	a8-7e-ea-e9-35-63	24-31-54-62-92-32		ipv4				192.168.43.233		192.168.43.1 		49947	 53  		DNS请求 Host Address  查询passport.baidu.com的地址
   1181 [2022-05-30 17:05:09]  78Bytes	a8-7e-ea-e9-35-63	24-31-54-62-92-32		ipv4				192.168.43.233		192.168.43.1 		50377	 53  		DNS请求 null  查询passport.baidu.com的地址
   1182 [2022-05-30 17:05:09]  77Bytes	a8-7e-ea-e9-35-63	24-31-54-62-92-32		ipv4				192.168.43.233		1.0.0.1 		50378	 53  		DNS请求 Host Address  查询public.dns.iij.jp的地址
   1183 [2022-05-30 17:05:09]  77Bytes	a8-7e-ea-e9-35-63	24-31-54-62-92-32		ipv4				192.168.43.233		223.5.5.5 		50379	 53  		DNS请求 Host Address  查询public.dns.iij.jp的地址
   1195 [2022-05-30 17:05:09]  142Bytes	24-31-54-62-92-32	a8-7e-ea-e9-35-63		ipv4				192.168.43.1		192.168.43.233 		   53	 49947  		DNS响应 CNAME 域名passport.baidu.com的CNAME是passport.n.shifen.com
   1195 [2022-05-30 17:05:09]  142Bytes	24-31-54-62-92-32	a8-7e-ea-e9-35-63		ipv4				192.168.43.1		192.168.43.233 		   53	 49947  		DNS响应 Host Address  域名passport.n.shifen.com的IP地址是220.181.33.24
   1195 [2022-05-30 17:05:09]  142Bytes	24-31-54-62-92-32	a8-7e-ea-e9-35-63		ipv4				192.168.43.1		192.168.43.233 		   53	 49947  		DNS响应 Host Address  域名passport.n.shifen.com的IP地址是220.181.33.191
   1196 [2022-05-30 17:05:09]  166Bytes	24-31-54-62-92-32	a8-7e-ea-e9-35-63		ipv4				192.168.43.1		192.168.43.233 		   53	 50377  		DNS响应 CNAME 域名passport.baidu.com的CNAME是passport.n.shifen.com
   1218 [2022-05-30 17:05:09]  109Bytes	24-31-54-62-92-32	a8-7e-ea-e9-35-63		ipv4				223.5.5.5		192.168.43.233 		   53	 50379  		DNS响应 Host Address  域名public.dns.iij.jp的IP地址是103.2.57.6
   1218 [2022-05-30 17:05:09]  109Bytes	24-31-54-62-92-32	a8-7e-ea-e9-35-63		ipv4				223.5.5.5		192.168.43.233 		   53	 50379  		DNS响应 Host Address  域名public.dns.iij.jp的IP地址是103.2.57.5
   1749 [2022-05-30 17:05:13]  77Bytes	a8-7e-ea-e9-35-63	24-31-54-62-92-32		ipv4				192.168.43.233		1.0.0.1 		51241	 53  		DNS请求 Host Address  查询public.dns.iij.jp的地址
   1750 [2022-05-30 17:05:13]  77Bytes	a8-7e-ea-e9-35-63	24-31-54-62-92-32		ipv4				192.168.43.233		223.5.5.5 		51242	 53  		DNS请求 Host Address  查询public.dns.iij.jp的地址
   1775 [2022-05-30 17:05:13]  109Bytes	24-31-54-62-92-32	a8-7e-ea-e9-35-63		ipv4				223.5.5.5		192.168.43.233 		   53	 51242  		DNS响应 Host Address  域名public.dns.iij.jp的IP地址是103.2.57.6
   1775 [2022-05-30 17:05:13]  109Bytes	24-31-54-62-92-32	a8-7e-ea-e9-35-63		ipv4				223.5.5.5		192.168.43.233 		   53	 51242  		DNS响应 Host Address  域名public.dns.iij.jp的IP地址是103.2.57.5
